"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 1999","1,449.80","1,430.75","1,451.85","1,429.10","13.42M","1.37%"
"Oct 22, 1999","1,430.25","1,452.60","1,452.60","1,421.40","47.32M","-1.59%"
"Oct 21, 1999","1,453.35","1,478.00","1,496.45","1,448.35","57.11M","-1.64%"
"Oct 20, 1999","1,477.65","1,446.20","1,498.70","1,446.20","56.37M","2.33%"
"Oct 18, 1999","1,444.05","1,454.90","1,461.45","1,426.15","48.45M","-0.72%"
"Oct 15, 1999","1,454.55","1,505.70","1,512.00","1,448.95","33.57M","-3.36%"
"Oct 14, 1999","1,505.20","1,497.30","1,522.85","1,496.65","40.80M","0.59%"
"Oct 13, 1999","1,496.30","1,485.45","1,510.50","1,466.00","61.68M","0.84%"
"Oct 12, 1999","1,483.85","1,484.40","1,493.15","1,472.35","55.86M","-0.01%"
"Oct 11, 1999","1,484.00","1,480.80","1,504.55","1,479.10","50.44M","0.32%"
"Oct 08, 1999","1,479.25","1,470.00","1,502.65","1,462.75","55.10M","0.65%"
"Oct 07, 1999","1,469.75","1,394.35","1,475.45","1,394.35","62.42M","5.53%"
"Oct 06, 1999","1,392.70","1,377.65","1,419.75","1,377.15","57.10M","1.06%"
"Oct 05, 1999","1,378.15","1,372.40","1,384.35","1,358.95","46.22M","0.43%"
"Oct 04, 1999","1,372.30","1,403.45","1,406.35","1,367.85","39.01M","-2.20%"
"Oct 01, 1999","1,403.20","1,414.65","1,419.10","1,389.05","49.45M","-0.70%"
"Sep 30, 1999","1,413.10","1,415.55","1,432.55","1,409.55","57.21M","-0.16%"
"Sep 29, 1999","1,415.30","1,380.70","1,429.05","1,380.30","58.49M","2.62%"
"Sep 28, 1999","1,379.15","1,389.25","1,389.45","1,363.45","55.04M","-0.74%"
"Sep 27, 1999","1,389.50","1,413.80","1,427.15","1,387.05","46.40M","-1.61%"
"Sep 24, 1999","1,412.25","1,397.45","1,427.75","1,396.75","53.62M","1.02%"
"Sep 23, 1999","1,398.00","1,387.95","1,403.55","1,387.45","40.01M","0.83%"
"Sep 22, 1999","1,386.45","1,350.70","1,400.00","1,350.70","34.76M","2.65%"
"Sep 21, 1999","1,350.60","1,358.45","1,367.75","1,348.60","36.61M","-0.53%"
"Sep 20, 1999","1,357.85","1,359.80","1,379.05","1,356.30","30.80M","-0.14%"
"Sep 17, 1999","1,359.70","1,350.35","1,364.05","1,329.70","34.65M","0.63%"
"Sep 16, 1999","1,351.20","1,374.45","1,375.35","1,347.30","31.30M","-1.71%"
"Sep 15, 1999","1,374.70","1,371.00","1,392.35","1,371.00","35.09M","0.30%"
"Sep 14, 1999","1,370.55","1,391.90","1,397.45","1,366.25","43.76M","-1.48%"
"Sep 10, 1999","1,391.10","1,397.15","1,398.60","1,388.85","40.90M","-0.42%"
"Sep 09, 1999","1,396.90","1,400.15","1,402.25","1,388.65","41.09M","-0.19%"
"Sep 08, 1999","1,399.50","1,385.55","1,413.45","1,385.55","43.97M","1.17%"
"Sep 07, 1999","1,383.25","1,391.20","1,403.75","1,378.95","40.41M","-0.50%"
"Sep 06, 1999","1,390.20","1,375.45","1,392.05","1,372.50","30.64M","1.11%"
"Sep 03, 1999","1,374.95","1,375.70","1,384.25","1,370.95","31.51M","-0.07%"
"Sep 02, 1999","1,375.85","1,410.00","1,410.00","1,372.50","32.97M","-2.47%"
"Sep 01, 1999","1,410.70","1,412.05","1,430.80","1,397.70","43.99M","-0.09%"
"Aug 31, 1999","1,412.00","1,422.65","1,424.05","1,409.55","38.97M","-0.75%"
"Aug 30, 1999","1,422.60","1,417.80","1,435.50","1,417.80","46.99M","0.36%"
"Aug 27, 1999","1,417.50","1,402.60","1,425.20","1,402.60","36.61M","1.07%"
"Aug 26, 1999","1,402.50","1,371.90","1,408.15","1,371.90","38.22M","2.25%"
"Aug 25, 1999","1,371.65","1,383.45","1,414.00","1,341.35","50.30M","-0.80%"
"Aug 24, 1999","1,382.65","1,370.05","1,385.60","1,369.90","45.41M","0.95%"
"Aug 23, 1999","1,369.70","1,347.75","1,375.95","1,347.75","46.43M","1.66%"
"Aug 20, 1999","1,347.30","1,345.60","1,350.30","1,332.40","28.90M","0.17%"
"Aug 19, 1999","1,345.00","1,363.50","1,375.45","1,341.55","43.35M","-1.35%"
"Aug 18, 1999","1,363.35","1,326.00","1,371.90","1,326.00","46.82M","3.07%"
"Aug 17, 1999","1,322.70","1,310.30","1,327.90","1,310.30","34.96M","0.98%"
"Aug 16, 1999","1,309.90","1,292.35","1,314.15","1,292.35","34.65M","1.40%"
"Aug 13, 1999","1,291.85","1,309.70","1,317.10","1,290.30","26.03M","-1.35%"
"Aug 12, 1999","1,309.50","1,315.90","1,321.55","1,308.05","27.26M","-0.44%"
"Aug 11, 1999","1,315.30","1,308.75","1,328.20","1,295.20","34.51M","0.42%"
"Aug 10, 1999","1,309.75","1,328.15","1,328.40","1,305.85","33.65M","-1.36%"
"Aug 09, 1999","1,327.75","1,316.90","1,332.90","1,312.80","37.62M","0.83%"
"Aug 06, 1999","1,316.80","1,323.15","1,326.00","1,315.15","30.09M","-0.49%"
"Aug 05, 1999","1,323.30","1,326.75","1,345.85","1,317.50","33.02M","-0.23%"
"Aug 04, 1999","1,326.40","1,285.90","1,329.30","1,285.90","43.24M","3.22%"
"Aug 03, 1999","1,285.05","1,289.20","1,290.80","1,277.85","39.01M","-0.35%"
"Aug 02, 1999","1,289.60","1,309.85","1,310.80","1,282.85","25.88M","-1.57%"
"Jul 30, 1999","1,310.15","1,325.55","1,325.55","1,302.50","34.29M","-1.17%"
"Jul 29, 1999","1,325.70","1,320.75","1,329.75","1,312.55","46.82M","0.42%"
"Jul 28, 1999","1,320.10","1,309.75","1,337.00","1,309.75","40.25M","0.78%"
"Jul 27, 1999","1,309.85","1,325.40","1,327.00","1,304.40","40.02M","-1.23%"
"Jul 26, 1999","1,326.15","1,342.60","1,342.60","1,314.80","30.65M","-1.25%"
"Jul 23, 1999","1,342.95","1,350.00","1,367.30","1,339.60","38.45M","-0.46%"
"Jul 22, 1999","1,349.20","1,339.05","1,358.25","1,337.55","43.14M","0.68%"
"Jul 21, 1999","1,340.15","1,314.80","1,346.65","1,302.80","40.17M","1.94%"
"Jul 20, 1999","1,314.70","1,349.60","1,350.35","1,310.85","50.20M","-2.59%"
"Jul 19, 1999","1,349.60","1,325.35","1,357.85","1,325.35","47.69M","1.91%"
"Jul 16, 1999","1,324.25","1,318.30","1,331.75","1,312.30","47.85M","0.50%"
"Jul 15, 1999","1,317.70","1,335.55","1,367.95","1,310.45","71.34M","-1.31%"
"Jul 14, 1999","1,335.15","1,322.90","1,341.10","1,306.20","62.49M","1.04%"
"Jul 13, 1999","1,321.45","1,315.75","1,338.15","1,315.75","69.96M","0.46%"
"Jul 12, 1999","1,315.35","1,254.10","1,318.05","1,254.10","66.69M","4.89%"
"Jul 09, 1999","1,254.00","1,244.40","1,260.70","1,244.40","65.22M","0.80%"
"Jul 08, 1999","1,244.05","1,243.90","1,251.15","1,238.40","56.92M","0.03%"
"Jul 07, 1999","1,243.70","1,241.65","1,255.75","1,238.15","59.20M","0.20%"
"Jul 06, 1999","1,241.25","1,230.30","1,246.40","1,230.30","46.09M","0.89%"
"Jul 05, 1999","1,230.25","1,197.95","1,232.40","1,197.95","55.95M","2.70%"
"Jul 02, 1999","1,197.85","1,183.65","1,204.15","1,183.65","51.74M","1.24%"
"Jul 01, 1999","1,183.20","1,187.85","1,197.00","1,179.30","36.95M","-0.38%"
"Jun 30, 1999","1,187.70","1,191.45","1,193.90","1,179.65","31.86M","-0.30%"
"Jun 29, 1999","1,191.30","1,192.20","1,198.70","1,185.30","36.79M","-0.08%"
"Jun 28, 1999","1,192.20","1,177.05","1,194.90","1,177.05","31.13M","1.29%"
"Jun 25, 1999","1,177.00","1,181.60","1,197.00","1,174.20","44.87M","-0.36%"
"Jun 24, 1999","1,181.30","1,192.55","1,193.10","1,171.30","42.20M","-0.99%"
"Jun 23, 1999","1,193.15","1,215.95","1,228.55","1,188.65","51.13M","-1.74%"
"Jun 22, 1999","1,214.30","1,202.95","1,219.45","1,201.20","47.53M","1.00%"
"Jun 21, 1999","1,202.30","1,175.30","1,203.35","1,175.30","43.40M","2.31%"
"Jun 18, 1999","1,175.15","1,177.15","1,189.20","1,172.20","48.31M","-0.10%"
"Jun 17, 1999","1,176.35","1,148.95","1,181.90","1,148.95","55.86M","2.46%"
"Jun 16, 1999","1,148.15","1,120.35","1,152.35","1,109.70","61.56M","2.47%"
"Jun 15, 1999","1,120.50","1,127.40","1,143.30","1,113.30","48.34M","-0.57%"
"Jun 14, 1999","1,126.90","1,140.75","1,140.75","1,099.85","37.23M","-1.31%"
"Jun 11, 1999","1,141.90","1,161.80","1,162.95","1,140.25","45.66M","-1.78%"
"Jun 10, 1999","1,162.60","1,163.70","1,175.95","1,159.60","46.94M","-0.05%"
"Jun 09, 1999","1,163.20","1,180.00","1,192.05","1,159.25","50.77M","-1.34%"
"Jun 08, 1999","1,178.95","1,145.90","1,178.95","1,138.05","49.67M","1.93%"
"Jun 07, 1999","1,156.65","1,159.55","1,164.15","1,150.20","39.20M","0.14%"
"Jun 04, 1999","1,155.05","1,150.05","1,162.00","1,149.10","55.68M","1.62%"
"Jun 03, 1999","1,136.65","1,129.90","1,141.05","1,127.30","48.74M","1.02%"
"Jun 02, 1999","1,125.15","1,120.65","1,127.65","1,107.20","37.66M","0.12%"
"Jun 01, 1999","1,123.80","1,125.55","1,139.80","1,113.00","52.30M","-0.75%"
"May 31, 1999","1,132.30","1,098.00","1,132.80","1,097.85","45.14M","4.70%"
"May 28, 1999","1,081.50","1,088.00","1,098.25","1,049.95","53.63M","-0.91%"
"May 27, 1999","1,091.45","1,132.85","1,147.95","1,091.45","43.74M","-3.88%"
"May 26, 1999","1,135.50","1,165.15","1,170.10","1,122.60","49.53M","-2.13%"
"May 25, 1999","1,160.20","1,148.05","1,164.20","1,147.40","50.70M","0.75%"
"May 24, 1999","1,151.60","1,147.40","1,154.50","1,132.50","39.33M","0.50%"
"May 21, 1999","1,145.85","1,176.95","1,177.00","1,139.10","51.67M","-1.80%"
"May 20, 1999","1,166.90","1,181.00","1,201.30","1,166.90","63.58M","-1.13%"
"May 19, 1999","1,180.25","1,169.60","1,189.20","1,161.60","76.33M","1.73%"
"May 18, 1999","1,160.15","1,155.75","1,176.30","1,153.45","59.04M","0.72%"
"May 17, 1999","1,151.90","1,164.45","1,171.10","1,120.70","71.28M","-1.15%"
"May 14, 1999","1,165.35","1,157.60","1,173.55","1,144.90","72.33M","1.50%"
"May 13, 1999","1,148.10","1,131.95","1,149.60","1,130.85","55.93M","3.35%"
"May 12, 1999","1,110.90","1,135.45","1,142.10","1,086.70","60.73M","-0.46%"
"May 11, 1999","1,116.00","1,102.20","1,121.95","1,100.50","45.79M","1.99%"
"May 10, 1999","1,094.20","1,070.75","1,094.20","1,070.35","39.31M","2.94%"
"May 07, 1999","1,062.90","1,065.40","1,080.70","1,059.05","44.52M","1.52%"
"May 06, 1999","1,046.95","1,024.95","1,048.05","1,023.95","38.42M","2.69%"
"May 05, 1999","1,019.55","1,014.65","1,034.55","1,004.90","41.62M","1.11%"
"May 04, 1999","1,008.35","971.90","1,008.35","971.80","27.44M","3.87%"
"May 03, 1999","970.75","979.80","986.40","968.25","23.77M","-0.76%"
"Apr 30, 1999","978.20","970.90","980.75","969.60","26.83M","1.20%"
"Apr 29, 1999","966.60","950.25","966.60","948.40","38.93M","2.45%"
"Apr 28, 1999","943.50","928.85","944.45","916.00","18.55M","1.30%"
"Apr 26, 1999","931.35","945.90","955.50","931.30","24.33M","-5.16%"
"Apr 23, 1999","982.00","987.05","994.30","968.15","21.27M","0.04%"
